ID,RA,DEJ2000,Mass,z,SFR,NH,NH_err,OH,OH_err,,
486,335.11429,1.163868,8.11E+09,0.839939,7.783638,0.336427,0.015121,8.630655,0.011553,,
488,335.12037,1.19886,5.72E+09,0.819441,4.339232,0.267067,0.071246,8.570069,0.070413,,
490,335.1377,1.266361,4.34E+10,0.970097,12.448505,0.193967,0.020146,8.49396,0.026143,,
491,335.15221,1.278837,1.04E+09,0.800894,2.726194,0.384649,0.082419,8.666862,0.058365,,
495,335.16473,1.234966,2.61E+10,0.961953,8.24692,0.285923,0.023655,8.589537,0.02049,,
506,334.97769,1.224832,2.19E+10,0.969577,10.925646,0.033713,0.039229,8.137637,0.228583,,
510,335.00091,1.164537,5.77E+09,0.821218,2.907285,0.132224,0.032634,8.397039,0.067089,,
511,335.01124,1.173127,2.32E+10,0.96121,3.825425,1.135746,0.072946,8.930338,0.015714,,
512,335.01294,1.204718,3.03E+10,0.822108,2.948566,0.143583,0.031105,8.418385,0.058582,,
516,333.26176,1.468715,2.25E+09,0.884981,22.114122,0.047598,0.01209,8.148177,0.071529,,
517,333.26335,1.496136,9.23E+09,0.872904,8.239427,0.398412,0.025371,8.672905,0.015868,,
521,333.50528,0.951796,1.56E+09,0.809772,32.497898,0.02213,0.007497,7.951935,0.105682,,
525,333.54812,0.89678,1.73E+10,0.823754,5.43085,0.507071,0.022768,8.732277,0.010751,,
528,333.53161,0.916183,5.31E+10,0.82247,6.262027,0.135979,0.01928,8.407215,0.035156,,
529,333.54106,0.94326,8.57E+10,0.967326,8.51197,0.225131,0.014854,8.530167,0.016444,,
535,334.66104,0.939539,7.06E+10,0.924319,4.313729,0.211467,0.023723,8.516138,0.028367,,
547,34.505617,-4.733712,1.40E+10,0.602073,0.906851,0.584244,0.057451,8.767611,0.02512,,
554,34.530929,-4.742256,1.81E+10,0.841097,3.110213,0.550244,0.037478,8.752468,0.016941,,
558,34.57145,-5.015081,3.85E+09,0.840074,9.639894,0.126665,0.019916,8.391858,0.039659,,
560,34.578412,-4.958827,2.28E+10,0.841549,5.908571,0.541121,0.032717,8.747576,0.014907,,
561,34.588317,-5.000393,9.93E+08,0.839251,6.834126,0.025993,0.027261,8.059729,0.244894,,
563,34.609575,-4.783706,1.08E+10,0.841691,10.16256,0.090979,0.016295,8.307974,0.048101,,
565,34.61565,-4.761785,1.42E+09,0.834914,3.350186,0.229589,0.067309,8.535176,0.087145,,
572,34.852354,-4.737971,1.11E+10,0.839485,8.16366,0.183045,0.017892,8.479808,0.024188,,
574,34.896675,-4.694981,9.66E+09,0.836158,9.07939,0.069437,0.014897,8.241995,0.056052,,
576,34.228033,-4.978422,6.10E+09,0.835748,13.352561,0.146789,0.008891,8.424416,0.014944,,
578,34.241733,-5.040721,1.55E+10,0.834664,10.08897,0.359609,0.015457,8.647048,0.010454,,
583,34.280683,-4.993241,3.78E+10,0.833836,6.74976,0.498297,0.029964,8.727306,0.014922,,
584,34.291542,-4.753947,9.75E+09,0.963471,5.35676,0.460076,0.036286,8.708188,0.020154,,
585,34.312479,-5.208119,1.69E+10,0.802994,6.590471,0.447331,0.056094,8.699491,0.03256,,
586,34.357912,-5.183929,6.38E+09,0.8545,15.722728,0.218795,0.044091,8.524196,0.052535,,
587,34.378942,-4.996826,4.03E+09,0.857682,8.723284,0.046714,0.034762,8.167798,0.220285,,
590,34.425362,-4.711541,7.33E+09,0.866782,19.553028,0.17848,0.014671,8.472911,0.020786,,
591,34.426967,-4.986346,2.54E+09,0.856187,3.385721,0.179351,0.036662,8.471553,0.051885,,
595,34.463679,-4.70045,4.80E+09,0.839033,8.562275,0.144453,0.034267,8.420921,0.068165,,
598,34.477787,-4.741861,3.29E+10,0.839855,13.036518,0.225476,0.013023,8.531497,0.014153,,
603,34.318075,-4.999336,1.31E+10,0.807771,57.854279,0.177308,0.008515,8.471865,0.012178,,
613,34.839746,-4.834351,1.01E+10,0.899761,13.746511,0.185555,0.019111,8.484444,0.025849,,
614,34.824854,-4.830725,5.72E+09,0.900674,14.729548,0.167957,0.020569,8.458324,0.031175,,
615,34.263587,-4.808001,9.66E+09,0.834815,21.257727,0.270236,0.016214,8.576477,0.015381,,
616,34.236117,-4.795798,3.71E+10,0.882185,7.203633,0.935306,0.040907,8.883924,0.010756,,
618,34.244358,-4.750436,3.32E+10,0.882541,7.044352,0.219486,0.043515,8.52367,0.051022,,
621,34.324596,-5.028073,4.26E+10,0.821199,12.655284,1.342171,0.044768,8.97314,0.008162,,
645,34.37895,-5.027785,2.43E+10,0.799755,6.337204,0.612066,0.046595,8.778531,0.019117,,
651,34.834208,-4.89343,1.62E+10,0.826691,16.014072,0.297365,0.00644,8.599828,0.005304,,
660,34.221542,-4.996918,1.49E+09,0.808133,4.646482,0.122383,0.028612,8.376747,0.063968,,
666,34.301254,-4.787096,3.99E+10,0.99341,8.453945,0.726612,0.03291,8.821301,0.011396,,
669,34.567838,-4.728418,1.40E+10,0.843821,15.845564,0.249678,0.031445,8.557864,0.032263,,
674,34.815446,-4.669455,1.10E+10,0.841361,12.978795,0.292352,0.013989,8.595954,0.011615,,
677,34.835921,-4.687934,1.31E+10,0.841548,29.044125,0.16524,0.006087,8.454568,0.00891,,
681,34.846358,-4.677513,1.91E+10,0.919619,10.735551,0.541265,0.025555,8.748182,0.011618,,
682,34.854896,-4.671353,3.20E+10,0.933924,9.510341,0.714966,0.029009,8.816696,0.010513,,
685,34.878696,-4.684166,2.45E+10,0.918656,6.621798,0.347767,0.018405,8.638976,0.01299,,
692,34.5232,-4.67334,1.19E+10,0.840196,28.364206,0.008106,0.009402,7.779089,0.236893,,
693,34.526733,-4.750314,2.04E+10,0.865617,11.452482,0.858939,0.032525,8.862091,0.009526,,
